recordNo	timeStamp	trialNum	level	action	detail	

1	4.649692	0	1	mouseDown		

2	4.649692	0	1	reactionTime		

3	4.919954	0	1	grading	 for solid 11 on panelNo.0 is -1	

4	4.919954	0	1	mouseRelease	-64.11111 55,-65.11111 47,-66.11111 41,-70.11111 18,-71.11111 10,-74.11111 -11,-74.11111 -18,-75.11111 -24,-75.11111 -29,-76.11111 -33,-77.11111 -34,-77.11111 -35,-78.11111 -35,-78.11111 -35,-79.11111 -35,-79.11111 -35,	

5	10.35204	1	1	mouseDown		

6	10.35204	1	1	reactionTime	6.008842	

7	10.60531	1	1	grading	 for solid 6 on panelNo.0 is -1	

8	10.60531	1	1	mouseRelease	-165.1111 63,-165.1111 63,-165.1111 64,-164.1111 64,-147.1111 63,-130.1111 63,-111.1111 64,-95.11111 65,-86.11111 66,-84.11111 66,-83.11111 66,-83.11111 66,-83.11111 66,-83.11111 66,-83.11111 66,	

9	15.77746	2	1	mouseDown		

10	15.77746	2	1	reactionTime	6.032	

11	15.96299	2	1	grading	 for solid 5 on panelNo.0 is -2	

12	15.96299	2	1	mouseRelease	-142.1111 18,-142.1111 7,-142.1111 -4,-142.1111 -19,-143.1111 -30,-145.1111 -38,-146.1111 -42,-148.1111 -45,-148.1111 -46,-149.1111 -47,-150.1111 -47,	

13	15.96299	3	1	mouseDown		

14	15.96299	3	1	reactionTime	6.032	

15	15.96299	3	1	mouseRelease	-142.1111 18,-142.1111 7,-142.1111 -4,-142.1111 -19,-143.1111 -30,-145.1111 -38,-146.1111 -42,-148.1111 -45,-148.1111 -46,-149.1111 -47,-150.1111 -47,	

shift from  to World Scene
