

9/7/2017 2:54:51 PM

recordNo	timeStamp	trialNum	level	action	detail	

1	17.02641	0	1	mouseDown		

2	17.02658	0	1	reactionTime		

3	17.21269	0	1	mouseRelease		

4	17.21508	1	1	grading	 for solid 3 on panelNo.0 is -1	

5	26.89338	1	1	mouseDown		

6	26.89343	1	1	reactionTime	10.46655	

7	27.11407	1	1	mouseRelease	-399.3333 76.5,-389.3333 5.5,-393.3333 -16.5,-398.3333 -30.5,-401.3333 -35.5,-401.3333 -37.5,-401.3333 -37.5,-401.3333 -37.5,-401.3333 -37.5,	

8	27.11424	2	1	grading	 for solid 0 on panelNo.0 is -1	

9	36.18245	2	1	mouseDown		

10	36.1825	2	1	reactionTime	9.912073	

11	36.40934	2	1	mouseRelease	-394.3333 77.5,-394.3333 60.5,-395.3333 19.5,-394.3333 -8.5,-390.3333 -34.5,-389.3333 -49.5,-390.3333 -61.5,-392.3333 -67.5,-392.3333 -70.5,-392.3333 -70.5,-392.3333 -70.5,-392.3333 -70.5,-392.3333 -68.5,	

12	36.40953	3	1	grading	 for solid 6 on panelNo.0 is -1	

13	44.98951	3	1	mouseDown		

14	44.98955	3	1	reactionTime	9.295767	

15	45.19158	3	1	mouseRelease	-435.3333 128.5,-435.3333 128.5,-417.3333 126.5,-369.3333 118.5,-322.3333 117.5,-278.3333 117.5,-254.3333 117.5,-250.3333 115.5,-250.3333 115.5,-250.3333 115.5,-250.3333 115.5,-249.3333 115.5,-249.3333 115.5,	

16	45.19227	4	1	grading	 for solid 2 on panelNo.0 is -2	

17	47.09575	4	1	mouseDown		

18	47.09579	4	1	reactionTime	9.295767	

19	47.28096	4	1	mouseRelease	-355.3333 109.5,-338.3333 91.5,-309.3333 66.5,-262.3333 30.5,-206.3333 -1.5,-164.3333 -25.5,-128.3333 -46.5,-118.3333 -54.5,-116.3333 -56.5,-116.3333 -57.5,-116.3333 -57.5,-116.3333 -57.5,	

20	47.28119	5	1	grading	 for solid 2 on panelNo.0 is -1	

21	56.44255	5	1	mouseDown		

22	56.44259	5	1	reactionTime	10.86334	

23	56.68226	5	1	mouseRelease	-370.3333 115.5,-352.3333 97.5,-317.3333 71.5,-288.3333 49.5,-269.3333 29.5,-255.3333 15.5,-246.3333 5.5,-241.3333 0.5,-237.3333 -3.5,-237.3333 -3.5,-237.3333 -3.5,	

24	56.68242	6	1	grading	 for solid 5 on panelNo.0 is -1	

25	64.8945	6	1	mouseDown		

26	64.89455	6	1	reactionTime	9.411781	

27	65.17484	6	1	mouseRelease	-444.3333 101.5,-430.3333 98.5,-410.3333 96.5,-387.3333 95.5,-364.3333 95.5,-335.3333 97.5,-320.3333 99.5,-310.3333 101.5,-301.3333 103.5,-298.3333 104.5,-294.3333 106.5,-291.3333 106.5,-291.3333 108.5,-290.3333 108.5,	

28	65.17505	7	1	grading	 for solid 11 on panelNo.0 is -1	

29	73.68753	7	1	mouseDown		

30	73.68757	7	1	reactionTime	8.48671	

31	73.78888	7	1	tutorialDisabled		

32	73.87288	7	1	mouseRelease	-305.3333 94.5,-299.3333 78.5,-297.3333 67.5,-297.3333 57.5,-298.3333 40.5,-300.3333 21.5,-304.3333 4.5,-305.3333 -12.5,-305.3333 -25.5,-305.3333 -31.5,-305.3333 -38.5,-304.3333 -38.5,-304.3333 -39.5,-304.3333 -39.5,-304.3333 -39.5,-304.3333 -39.5,	

33	73.87306	8	1	grading	 for solid 1 on panelNo.0 is -1	

34	82.51762	8	1	mouseDown		

35	82.51767	8	1	reactionTime	8.698906	

36	82.75457	8	1	mouseRelease	-290.3333 -83.5,-290.3333 -83.5,-290.3333 -83.5,-293.3333 -64.5,-299.3333 -34.5,-300.3333 -9.5,-300.3333 16.5,-298.3333 26.5,-296.3333 31.5,-296.3333 34.5,-296.3333 35.5,	

37	82.75478	9	1	grading	 for solid 8 on panelNo.0 is -1	

press Q
